Date,Close,Open,High,Low
21/03/22,4461.18,4462.40,4481.75,4424.30
18/03/22,4463.12,4407.34,4465.40,4390.57
17/03/22,4411.67,4345.11,4412.67,4335.65
16/03/22,4357.86,4288.14,4358.90,4251.99
15/03/22,4262.45,4188.82,4271.05,4187.90
14/03/22,4173.11,4202.75,4247.57,4161.72
11/03/22,4204.31,4279.50,4291.01,4200.49
10/03/22,4259.52,4252.55,4268.28,4209.80
09/03/22,4277.88,4223.10,4299.40,4223.10
08/03/22,4170.70,4202.66,4276.94,4157.87
07/03/22,4201.09,4327.01,4327.01,4199.85
04/03/22,4328.87,4342.12,4342.12,4284.98
03/03/22,4363.49,4401.31,4416.78,4345.56
02/03/22,4386.54,4322.56,4401.48,4322.56
01/03/22,4306.26,4363.14,4378.45,4279.54
28/02/22,4373.94,4354.17,4388.84,4315.12
25/02/22,4384.65,4298.38,4385.34,4286.83
24/02/22,4288.70,4155.77,4294.73,4114.65
23/02/22,4225.50,4324.93,4341.51,4221.51
22/02/22,4304.76,4332.74,4362.12,4267.11
18/02/22,4348.87,4384.57,4394.60,4327.22
17/02/22,4380.26,4456.06,4456.06,4373.81
16/02/22,4475.01,4455.75,4489.55,4429.68
15/02/22,4471.07,4429.28,4472.77,4429.28
14/02/22,4401.67,4412.61,4426.22,4364.84
11/02/22,4418.64,4506.27,4526.33,4401.41
10/02/22,4504.10,4553.20,4588.90,4484.30
09/02/22,4587.20,4547.00,4590.00,4547.00
08/02/22,4521.50,4480.00,4531.30,4465.40
07/02/22,4483.90,4505.80,4521.90,4471.50
04/02/22,4500.50,4482.80,4539.70,4451.50
03/02/22,4477.40,4535.40,4542.90,4470.40
02/02/22,4589.40,4566.40,4595.30,4544.30
01/02/22,4546.50,4519.60,4550.50,4483.50
31/01/22,4515.60,4431.80,4516.90,4414.00
28/01/22,4431.90,4336.20,4432.70,4292.50
27/01/22,4326.50,4380.60,4428.70,4309.50
26/01/22,4349.90,4408.40,4453.20,4304.80
25/01/22,4356.40,4366.60,4411.00,4287.10
